PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,spinDir,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,play_by_play,run_value,wOBA_result,xwOBA_result,Family,SpinRate_raw,SpinRate_halved_fix,delta_velo,delta_IVB,delta_HB,dre_hat,run_suppress,pop_mu,pop_sd,StuffPlus
1,2025-09-05,13:30:27.69,1,1,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Utermark, Judd",824607,Right,OLE_REB,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.01508,2.075437,-1.644015,2512.938363,126.164218,10:15,6.21111,2.26996,5.65585,-32.46108,4.92796,-5.10835,5.44326,0.3106,79.1818,-3.928975,-2.555523,0.440092,,,,,,,,,,,,2.09,2.30646,-2.12756,50.0,6.36675,3.84624,-126.1878,3.42146,3.36027,26.36682,-28.46577,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,64176170-8a86-11f0-b7ae-078b0a2ab2b7,85.64675,,,7.83327,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:30:27.69,2025-09-05T13:30:27.6980000-05:00,2025-09-05T18:30:27.6980000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,40a81d2c-ad4e-49b6-8421-ac96820e4188,54.84147,-127.19539,13.18341,6.21522,4.50927,-14.23289,-2.27209,3.71783,1.68013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,BallCalled,0.063688329,0.0,,Breaking,2512.938363,False,-6.564909999999998,-14.20945,-11.71264,-0.009830009182324191,0.009830009182324191,0.006539392359943953,0.0070294313002203,109.36239841273394
2,2025-09-05,13:30:46.15,1,2,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Utermark, Judd",824607,Right,OLE_REB,Undefined,1,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.77704,0.830447,-2.801262,2493.350263,155.458233,11:15,6.1884,2.09783,5.62708,-28.67317,8.27012,-3.21492,4.57487,-0.78609,79.67803,-4.491943,-3.373978,0.437461,,,,,,,,,,,,0.78035,4.32386,-1.85697,50.0,6.24111,6.36574,-127.20273,0.8455,1.26964,27.79135,-25.13901,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,6f139350-8a86-11f0-b7ae-078b0a2ab2b7,86.16187,,,8.09901,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:30:46.15,2025-09-05T13:30:46.1560000-05:00,2025-09-05T18:30:46.1560000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,bb5cc86f-a288-4fce-a86e-8335e49e9281,54.8699,-128.2623,13.89567,6.1906,1.80394,-12.5695,-2.09875,6.31733,0.63482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,BallCalled,0.063688329,0.0,,Breaking,2493.350263,False,-5.802949999999996,-10.867289999999999,-9.81921,-0.008379863745757637,0.008379863745757637,0.006539392359943953,0.0070294313002203,105.23647307217016
3,2025-09-05,13:31:07.31,1,3,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Utermark, Judd",824607,Right,OLE_REB,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.3625,-0.526519,-1.759898,2513.792439,189.555549,12:15,6.18979,2.03897,6.16921,-12.27036,19.05088,3.02626,4.6807,0.66509,85.31984,-2.927602,-1.214385,0.402801,,,,,,,,,,,,-2.08102,10.27213,-1.90704,50.0,6.14325,4.07092,-136.93118,-1.55168,-3.91476,32.83519,-12.85048,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,7bb251a0-8a86-11f0-b7ae-078b0a2ab2b7,93.57573,,,9.04266,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:31:07.31,2025-09-05T13:31:07.3190000-05:00,2025-09-05T18:31:07.3190000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,dd490376-b496-48ea-b51a-593cadbd3068,54.32669,-137.96479,16.4176,6.18573,-1.14717,-6.42524,-2.03713,4.19415,-1.95738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,BallCalled,0.063688329,0.0,,Fastball,2513.792439,False,,,,-0.01147456993899414,0.01147456993899414,0.011193736093709893,0.009626112807018639,100.5834833871456
4,2025-09-05,13:31:30.70,1,4,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Utermark, Judd",824607,Right,OLE_REB,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.49469,-2.472249,-2.675944,2697.853329,201.587233,12:45,6.19989,2.13615,6.08971,-11.2265,20.50977,7.71784,2.97347,0.30212,85.52004,-4.657398,-1.287921,0.405461,,,,,,,,,,,,-4.67922,11.52221,-1.9335,50.0,6.00266,6.00055,-135.63268,-6.1289,-8.73711,29.00689,-10.65953,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,89a136a0-8a86-11f0-b7ae-078b0a2ab2b7,92.96187,,,7.97466,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:31:30.70,2025-09-05T13:31:30.7020000-05:00,2025-09-05T18:31:30.7020000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,3d10644f-9f8f-42ee-98af-f429ae17ef4b,54.40908,-136.57237,14.50345,6.19562,-5.78358,-5.32977,-2.13247,6.28359,-4.36856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,StrikeCalled,-0.065092516,0.0,,Fastball,2697.853329,False,,,,-0.021665001535606538,0.021665001535606538,0.011193736093709893,0.009626112807018639,121.75595830180129
5,2025-09-05,13:31:48.94,1,5,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Utermark, Judd",824607,Right,OLE_REB,Undefined,1,Top,0,3,1,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,88.03576,-2.457367,-3.283577,2657.10302,139.423589,10:45,6.13051,2.01033,5.77789,-30.71431,5.43225,-3.73981,1.27926,-1.36001,81.41879,-8.077796,-3.952304,0.432718,,,,,,,,,,,,1.0426,3.77,-1.73674,50.0,5.90873,7.48092,-127.64177,-6.56605,1.73007,24.83692,-25.91809,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,94854ca0-8a86-11f0-b7ae-078b0a2ab2b7,87.10626,,,6.61697,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:31:48.94,2025-09-05T13:31:48.9440000-05:00,2025-09-05T18:31:48.9440000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,55b420ee-ac08-4ab1-8631-8cff5e02a147,54.72185,-128.55728,12.41846,6.13315,-5.61069,-12.95904,-2.01132,7.41715,0.86503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,BallCalled,0.063688329,0.673,,Breaking,2657.10302,False,-5.544229999999999,-13.70516,-10.3441,-0.0161217718602292,0.0161217718602292,0.006539392359943953,0.0070294313002203,127.26359812346395
6,2025-09-05,13:32:24.59,2,1,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Pacella, Daniel",1000187768,Left,OLE_REB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.26281,-3.208817,-2.403707,2644.219067,199.979011,12:45,6.1196,1.98778,6.12346,-12.19918,19.08757,6.56941,2.13086,0.31179,86.09322,-5.566209,-1.220937,0.402579,,,,,,,,,,,,-4.08504,11.08965,-1.80717,50.0,5.86721,5.45774,-136.69144,-7.99228,-7.71991,30.45888,-11.21694,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,a9d51450-8a86-11f0-b7ae-078b0a2ab2b7,93.62733,,,8.1696,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:32:24.59,2025-09-05T13:32:24.5950000-05:00,2025-09-05T18:32:24.5950000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,1a166fcb-599d-47cb-bd4c-4c9404a6a5a0,54.37688,-137.66328,15.22944,6.11651,-7.63438,-5.60847,-1.98524,5.70406,-3.85995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,FoulBallNotFieldable,-0.038050274,0.0,,Fastball,2644.219067,False,,,,-0.012325662988097195,0.012325662988097195,0.011193736093709893,0.009626112807018639,102.35178397984696
7,2025-09-05,13:32:58.10,2,2,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Pacella, Daniel",1000187768,Left,OLE_REB,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.71285,-0.941164,-2.397433,2545.382724,205.661917,12:45,6.07735,2.05196,6.07485,-11.61725,19.45832,8.85512,4.23753,0.57022,86.01951,-3.210371,-0.80471,0.401218,,,,,,,,,,,,-5.20685,10.55508,-1.8707,50.0,5.99793,5.35216,-137.43689,-2.54001,-9.91883,31.6107,-12.06707,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,bdbac4b0-8a86-11f0-b7ae-078b0a2ab2b7,93.94493,,,8.69334,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:32:58.10,2025-09-05T13:32:58.1090000-05:00,2025-09-05T18:32:58.1090000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,8ff4d7af-502a-44dc-98bc-65593834f1d3,54.42244,-138.45032,15.80535,6.07316,-2.15314,-6.03353,-2.04739,5.67016,-4.95941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,StrikeSwinging,-0.118124936,0.0,,Fastball,2545.382724,False,,,,-0.016851121851964686,0.016851121851964686,0.011193736093709893,0.009626112807018639,111.75424778760093
8,2025-09-05,13:33:26.97,2,3,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Pacella, Daniel",1000187768,Left,OLE_REB,Undefined,1,Top,0,0,2,ChangeUp,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.42226,-1.633237,-2.213688,2057.562478,251.504333,2:30,5.94609,2.28566,6.49378,-28.97045,5.72563,14.0817,2.03106,1.42596,81.6697,-7.036664,0.344352,0.423947,,,,,,,,,,,,-8.00918,3.72567,-2.13651,50.0,5.81873,4.44609,-128.58737,-4.55933,-13.49165,25.14126,-25.89806,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,cf066940-8a86-11f0-b7ae-078b0a2ab2b7,88.9084,,,6.75256,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:33:26.97,2025-09-05T13:33:26.9750000-05:00,2025-09-05T18:33:26.9750000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,66eed78e-b019-4cf4-b954-c20c8ebf998a,54.00881,-129.36879,12.57063,5.94793,-3.75439,-12.94903,-2.28122,4.86543,-6.74582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,FoulBallNotFieldable,-0.038050274,0.0,,Offspeed,2057.562478,False,-5.157730000000001,-13.41178,7.47741,-0.0004948357523717483,0.0004948357523717483,0.0010950088941743296,0.003625348155139727,96.68901790327804
9,2025-09-05,13:33:59.98,2,4,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Pacella, Daniel",1000187768,Left,OLE_REB,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.07829,1.187528,-0.139571,2607.137887,66.670742,8:15,6.07312,2.14748,5.47178,-43.56841,-2.80327,-9.18528,3.55391,1.25143,76.77642,-6.74883,-1.776694,0.459532,,,,,,,,,,,,4.56859,-1.30272,-2.12893,50.0,6.14786,0.67837,-120.75464,0.92369,6.80106,21.70769,-34.11335,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,e2a74870-8a86-11f0-b7ae-078b0a2ab2b7,82.0235,,,6.30187,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:33:59.98,2025-09-05T13:33:59.9820000-05:00,2025-09-05T18:33:59.9820000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,f483aa0c-7f6b-48a3-87bd-2c69d2ca790f,55.02982,-121.65548,10.85384,6.08016,2.33934,-17.05667,-2.15122,0.39613,3.40053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,BallCalled,0.063688329,0.0,,Breaking,2607.137887,False,-10.5017,-21.94068,-15.789570000000001,-0.010959598382065866,0.010959598382065866,0.006539392359943953,0.0070294313002203,112.57628343841523
10,2025-09-05,13:34:26.60,2,5,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Pacella, Daniel",1000187768,Left,OLE_REB,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.41743,-0.56962,-3.377229,2567.921342,196.400168,12:30,6.19793,1.90953,6.33515,-11.27505,19.73143,5.50721,4.73292,-0.74478,85.73972,-2.786722,-2.383565,0.400772,,,,,,,,,,,,-3.81044,10.67938,-1.66554,50.0,6.15043,7.84013,-136.9498,-1.60666,-7.20672,31.41102,-11.97593,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,f2763810-8a86-11f0-b7ae-078b0a2ab2b7,94.04955,,,8.6777,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:34:26.60,2025-09-05T13:34:26.6040000-05:00,2025-09-05T18:34:26.6040000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,5985a2b6-035d-4e2a-b712-65ac92ae3369,54.16179,-137.90105,15.70551,6.19359,-1.24398,-5.98797,-1.90628,8.05838,-3.60336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,BallCalled,0.063688329,0.0,,Fastball,2567.921342,False,,,,-0.017737999555254215,0.017737999555254215,0.011193736093709893,0.009626112807018639,113.59689750731518
11,2025-09-05,13:35:02.49,2,6,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Pacella, Daniel",1000187768,Left,OLE_REB,Undefined,1,Top,0,2,2,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7412,0.397088,-2.47074,2108.323687,255.362658,2:30,5.91615,2.24058,6.537,-29.44931,4.78933,14.6843,3.82661,1.1966,82.01017,-5.108876,0.195797,0.421143,,,,,,,,,,,,-8.28745,2.73421,-2.07486,50.0,5.93115,5.00693,-129.11366,-0.01941,-14.14261,24.12859,-27.50812,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250905-OleMiss-Private-1,07fb8eb0-8a87-11f0-b7ae-078b0a2ab2b7,89.50031,,,6.73102,,,,,,,c25c51a2-969b-45b3-820b-de9c5afdec60,2025-09-05,18:35:02.49,2025-09-05T13:35:02.4960000-05:00,2025-09-05T18:35:02.4960000Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,4fcc27ef-b671-4571-9bd3-ba9382fc9062,53.96484,-129.85249,12.0643,5.91885,0.8229,-13.75406,-2.23481,5.43998,-7.0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,BallCalled,0.063688329,0.0,,Offspeed,2108.323687,False,-4.838789999999989,-14.34808,8.080010000000001,-0.0019173458657058124,0.0019173458657058124,0.0010950088941743296,0.003625348155139727,104.53659585971427
